appid,review_score,review_score_desc,total_reviews
588030,9.0,Overwhelmingly Positive,5398.0
1035930,8.0,Very Positive,101.0
2300120,5.0,Mixed,103.0
24780,8.0,Very Positive,5149.0
343360,5.0,Mixed,208.0
502500,8.0,Very Positive,20088.0
1113120,8.0,Very Positive,7383.0
1284410,0.0,No user reviews,0.0
1547000,6.0,Mostly Positive,3411.0
1985810,8.0,Very Positive,9459.0
203140,8.0,Very Positive,12638.0
2231450,9.0,Overwhelmingly Positive,43342.0
3256420,0.0,No user reviews,0.0
333640,9.0,Overwhelmingly Positive,9324.0
3477300,5.0,Mixed,190.0
641990,8.0,Very Positive,10947.0
4091980,0.0,No user reviews,0.0
364360,8.0,Very Positive,18028.0
1293230,8.0,Very Positive,1160.0
1957780,6.0,Mostly Positive,7053.0
22320,9.0,Overwhelmingly Positive,16812.0
720620,8.0,Very Positive,3111.0
851850,8.0,Very Positive,17303.0
205710,5.0,Mixed,10.0
1127400,9.0,Overwhelmingly Positive,8721.0
1022450,0.0,No user reviews,0.0
1106840,8.0,Very Positive,18053.0
47410,5.0,Mixed,99.0
1941540,6.0,Mostly Positive,7305.0
257350,8.0,Very Positive,5425.0
365590,6.0,Mostly Positive,26185.0
1150690,9.0,Overwhelmingly Positive,51913.0
3467040,8.0,Very Positive,193.0
269950,8.0,Very Positive,8580.0
418460,8.0,Very Positive,26247.0
3014080,8.0,Very Positive,2908.0
3373660,9.0,Overwhelmingly Positive,3945.0
2713690,8.0,Very Positive,254.0
4076520,0.0,No user reviews,0.0
1766060,6.0,Mostly Positive,2312.0
208580,8.0,Very Positive,17144.0
2530490,8.0,Very Positive,288.0
214490,8.0,Very Positive,25211.0
1017180,8.0,Very Positive,23667.0
3026450,8.0,Very Positive,298.0
3407390,8.0,Very Positive,614.0
205100,9.0,Overwhelmingly Positive,37302.0
383980,9.0,Overwhelmingly Positive,26882.0
527230,8.0,Very Positive,11345.0
2511310,5.0,Mixed,85.0
3769130,8.0,Very Positive,1829.0
451340,5.0,Mixed,6928.0
2101960,8.0,Very Positive,2284.0
368500,6.0,Mostly Positive,9433.0
3575980,7.0,Positive,39.0
1540960,0.0,No user reviews,0.0
1433140,5.0,Mixed,10498.0
858810,8.0,Very Positive,9587.0
10180,8.0,Very Positive,16148.0
231120,0.0,2 user reviews,2.0
2674290,0.0,No user reviews,0.0
3165680,0.0,No user reviews,0.0
1272320,8.0,Very Positive,4216.0
3121110,8.0,Very Positive,3073.0
1573360,0.0,No user reviews,0.0
1669480,6.0,Mostly Positive,473.0
2168680,8.0,Very Positive,4011.0
214510,8.0,Very Positive,4621.0
751780,8.0,Very Positive,13031.0
2151290,9.0,Overwhelmingly Positive,1209.0
1686940,9.0,Overwhelmingly Positive,14193.0
1802710,0.0,No user reviews,0.0
3058630,5.0,Mixed,5233.0
251670,0.0,No user reviews,0.0
424840,8.0,Very Positive,18367.0
3790260,0.0,No user reviews,0.0
2239710,8.0,Very Positive,1843.0
2698780,6.0,Mostly Positive,1837.0
20920,8.0,Very Positive,25090.0
911400,5.0,Mixed,4501.0
21090,8.0,Very Positive,7471.0
871540,6.0,Mostly Positive,2305.0
3692220,0.0,No user reviews,0.0
1929610,8.0,Very Positive,9744.0
24810,8.0,Very Positive,2538.0
777130,8.0,Very Positive,90.0
1266630,0.0,4 user reviews,4.0
3174070,0.0,No user reviews,0.0
